objectid,parentid,title,object_location,creator,date,description,subject,publisher-digital,location,type,format,language,rights,rightsstatement,display_template,object_transcript
lhs1952_001,,1952 LHS Yearbook - Cover,/objects/lhs1952_001.jpg,London High School,1952,Front cover from the 1952 London High School yearbook.,,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,L 1952
lhs1952_002,lhs1952_001,1952 LHS Yearbook - Inside Cover,/objects/lhs1952_002.jpg,London High School,1952,Inside cover from the 1952 London High School yearbook.,,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
lhs1952_003,lhs1952_001,1952 LHS Yearbook - p. 1,/objects/lhs1952_003.jpg,London High School,1952,Forward from the 1952 London High School yearbook.,,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
lhs1952_004,lhs1952_001,"1952 LHS Yearbook - p. 2, 3",/objects/lhs1952_004.jpg,London High School,1952,Image of London High School. ,,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
lhs1952_005,lhs1952_001,"1952 LHS Yearbook - p. 4, 5",/objects/lhs1952_005.jpg,London High School,1952,Image of London High School and faculty title page. ,Faculty,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
lhs1952_006,lhs1952_001,"1952 LHS Yearbook - p. 6, 7",/objects/lhs1952_006.jpg,London High School,1952,Board of Education and administrative staff.,Faculty,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
lhs1952_007,lhs1952_001,"1952 LHS Yearbook - p. 8, 9",/objects/lhs1952_007.jpg,London High School,1952,Images and names teachers.,Faculty,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
lhs1952_008,lhs1952_001,"1952 LHS Yearbook - p. 10, 11",/objects/lhs1952_008.jpg,London High School,1952,"Images and names of secretaries, cafeteria workers, bus drivers, and custodians.",Faculty,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
lhs1952_009,lhs1952_001,"1952 LHS Yearbook - p. 12, 13",/objects/lhs1952_009.jpg,London High School,1952,Senior introduction and senior names and images.,Seniors,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
lhs1952_010,lhs1952_001,"1952 LHS Yearbook - p. 14, 15",/objects/lhs1952_010.jpg,London High School,1952,Senior names and images. ,Seniors,London Public Library,"London, OH",Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact the London Public Library, London, Ohio. ",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,
